ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
APMAE4200,VDEO,4200,21801,3,413,27,Partial Differntial Equatns I,,
CHNSW1010,,,15176,2,47,27,Introductory Chinese A,,
MECEE4609,MECE,4609,12201,3,213,27,Computer Aided Manufacturing,,
COMSW4772,COMS,4772,27599,3,311,27,Advanced Machine Learning,,
CIENE3304,CEEM,3304,16250,3,93,27,Ind Studies-Civil Engin-Senior,,
ANTHV2010,,,19426,3,34,27,Major Debates-Study of Africa,,
ANTHV2210,,,67649,0,34,27,Maj Debates-Study of Africa,,
JPNSW1001,,,12804,2,75,27,Elementary Japanese A,,
MATHW4041,,,27212,3,44,27,Intro to Modern Algebra I,,
SOCIW1000,,,62446,3,50,27,The Social World,,
CIENE3303,CEEM,3303,73650,3,52,27,Ind Studies-Civil Engin-Junior,,
APPHE4901,APAM,4901,20062,1,46,27,Sem-Problms In Applied Physics,,
MUSIV2318,,,24779,3,33,27,Diatonic Harmony/Counterpoint,,
MUSIV2314,,,89530,1,35,27,Ear-Training I,,
ASCEV2375,,,9365,0,38,27,Intro East Asian Civ: Tibet-Dis,,
EAEEE4006,EAEE,4006,62998,3,128,26,Fld Methods For Environ Engin,,
FRENW1102,,,61246,4,56,26,Elementary French II,,
PHYSW1291,,,23812,1,42,26,General Physics I Lab,,
MUSIV1312,,,88948,1,36,26,Introductory Ear-Training,,
BMENE2300,BMEN,2300,62212,0,54,26,Biomechanics Track,,
IEORE4571,IEOR,4571,73334,3,313,25,System Engi Tools/Methods,,
IEORE4412,IEOR,4412,61396,3,153,25,Quality Control and Management,,
MECEE4314,MECE,4314,62209,3,195,25,Energy Dynamics of Green Bldgs,,
MECEE4304,MECE,4304,74799,3,194,25,Turbomachinery,,
ARCHV1020,,,4084,3,43,25,Intro-Arch Design/Vis Culture,,
CIENE0002,CEEM,2,20798,0,82,25,Construction Track,,
EAEEE3103,EAEE,3103,66445,3,68,25,"Energy,Minerals,Materials Syst",,
ASCEV2363,,,65944,4,33,25,Intro to East Asian Civ: China,,
